id,msno,is_churn,city,bd,gender,registered_via,registration_init_time,A_0days,B_7days,C_30days_month,D_30days_acount,E_90days,F_90days_discount,G_100days_card,H_120days_season,I_halfyear,J_180days_discount,K_200days_card,L_360days_year,M_395days,N_410days_discount,O_450days,last_last_churn,last_auto_renew,is_discount,amount_per_day,longtime_user,sum_25,sum_50,sum_75,sum_985,sum_100,sum_unq,sum_secs,timeperiod,sum_25_avg,sum_50_avg,sum_75_avg,sum_985_avg,sum_100_avg
Group_Above26,++Tp41swlnwrt2eLTL1cSAn97YgfRVh3uG9VHEmAySA=,1,13.0,36.0,1.0,3.0,2015-06-02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,4.730158730158731,0.0,5422.0,706.0,577.0,725.0,6267.0,10453.0,1929369.0,634.0,8.552050473186119,1.1135646687697158,0.9100946372239748,1.1435331230283912,9.884858044164037
Group_Above26,++UrWpg7IekInPcWfxrDFdkYSS4saPUwYxrqcoirTbg=,0,17.0,45.0,1.0,3.0,2015-02-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,10.0,4.966666666666668,0.0,718.0,216.0,120.0,78.0,993.0,1946.0,309505.0,711.0,1.009845288326301,0.3037974683544304,0.16877637130801687,0.10970464135021098,1.3966244725738397
Group_Above26,+/AW9p86EjbU5BRttlc58eMl+LtPbYAfOlRd/8kSmCw=,0,15.0,28.0,1.0,3.0,2012-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.0,5.666666666666668,0.0,1360.0,330.0,222.0,219.0,6217.0,5984.0,1550975.0,621.0,2.1900161030595813,0.5314009661835749,0.35748792270531393,0.3526570048309179,10.011272141706923
Group_Above26,+/YDLr+IV4Vk7rD+MDgIlY/vos6aWxZRHokKdN2M7o4=,0,22.0,26.0,1.0,3.0,2012-03-16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,4.411111111111111,0.0,191.0,46.0,37.0,80.0,586.0,704.0,180733.0,110.0,1.7363636363636363,0.41818181818181815,0.3363636363636364,0.7272727272727273,5.327272727272726
Group_Above26,+/o1K0v6t2cGYPuuCviNu+EZaTBn/HKt69lpnSCvmKU=,1,1.0,36.0,0.0,3.0,2015-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,5.529411764705882,0.0,455.0,32.0,31.0,46.0,698.0,598.0,195836.0,706.0,0.6444759206798867,0.0453257790368272,0.04390934844192634,0.06515580736543909,0.9886685552407932
Group_Above26,+0dTlGdjR+vy+Ga/Mn7z2NPJpL2EK0dQefNnIF1kAcY=,0,9.0,26.0,1.0,3.0,2012-06-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,28.0,4.942931103146158,1.0,1159.0,305.0,228.0,264.0,6177.0,7113.0,1715309.0,789.0,1.4689480354879594,0.3865652724968314,0.2889733840304182,0.3346007604562737,7.828897338403043
Group_Above26,+0g+qSwas/kf+O05TwTI+GeSe87J+XFUS7PK08G7q2U=,1,14.0,29.0,0.0,3.0,2013-11-28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,21.0,4.934623655913978,1.0,211.0,45.0,41.0,47.0,3311.0,3344.0,841690.0,741.0,0.28475033738191635,0.06072874493927125,0.0553306342780027,0.06342780026990552,4.468286099865047
Group_Above26,+17pKm9DWZjGMWC+Rhoao723B8nt/hwVqASzCvro6/Q=,0,4.0,30.0,0.0,3.0,2012-12-27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,21.0,4.942634408602151,0.0,986.0,302.0,257.0,216.0,3394.0,4829.0,1034455.0,760.0,1.2973684210526315,0.3973684210526316,0.3381578947368421,0.2842105263157895,4.46578947368421
Group_Above26,+25BpCfMbpTphtS/C01dx6bEh59kErQGimK4DfFKfqY=,0,14.0,33.0,1.0,3.0,2012-04-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,21.0,4.942634408602151,1.0,278.0,123.0,88.0,80.0,5222.0,4343.0,1425074.0,747.0,0.3721552878179384,0.1646586345381526,0.11780455153949128,0.107095046854083,6.990629183400268
Group_Above26,+2L2PZ5C0Nd2Abz7rKEgOkQ+FNSZU/Iu7VCoobZIdVM=,0,6.0,27.0,1.0,3.0,2015-08-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,4.966666666666668,0.0,2044.0,372.0,288.0,283.0,586.0,2841.0,275297.0,333.0,6.138138138138138,1.1171171171171168,0.8648648648648649,0.8498498498498499,1.7597597597597598
